Title,Date,Duration
Alvin and the Chipmunks,2007-12-13,92
Captain Phillips,2013-10-10,134
Date Night,2010-04-08,97
Kill Bill: Vol. 1,2003-10-10,111
The Forbidden Kingdom,2008-04-18,104
Evita,1996-12-14,134
Paddington,2014-11-27,95
Semi-Pro,2008-02-28,91
Changeling,2008-01-30,141
Imagine That,2009-06-19,107
Burlesque,2010-11-23,119
Blade II,2002-03-22,117
Seven Pounds,2008-12-18,123
The Godfather: Part III,1990-12-24,162
"You, Me and Dupree",2006-07-14,108
Gigli,2003-08-01,121
All the King's Men,2006-09-10,125
Lucky You,2007-05-01,124
Catch Me If You Can,2002-12-25,141
Zero Dark Thirty,2012-12-19,157
The Break-Up,2006-06-01,106
Valentine's Day,2010-02-10,125
The Dukes of Hazzard,2005-08-05,104
The Change-Up,2011-08-05,112
Man on the Moon,1999-12-22,118
From Paris with Love,2010-02-05,92
The Twilight Saga: New Moon,2009-03-15,130
Shrek,2001-05-16,90
The Adjustment Bureau,2011-03-03,106
Ted,2012-06-29,106
Super 8,2011-06-08,112
Erin Brockovich,2000-03-17,131
22 Jump Street,2014-06-05,112
Central Intelligence,2016-06-15,107
Daddy's Home,2015-12-25,96
Into the Woods,2014-12-25,125
Inside Man,2006-03-23,129
We Bought a Zoo,2011-12-22,124
Knowing,2009-03-19,121
"Crazy, Stupid, Love.",2011-07-29,118
Moneyball,2011-09-22,133
V for Vendetta,2006-03-15,132
Hansel & Gretel: Witch Hunters,2013-01-17,88
I Am Number Four,2011-02-18,109
Syriana,2005-11-23,128
13 Hours: The Secret Soldiers of Benghazi,2016-01-13,144
Silent Hill,2006-04-21,125
American Reunion,2012-04-04,113
The Judge,2014-10-08,141
The Adventures of Sharkboy and Lavagirl,2005-06-10,92
Ninja Assassin,2009-09-29,99
Marmaduke,2010-06-04,87
Hereafter,2010-10-15,129
Hannibal Rising,2007-02-06,121
The International,2009-02-03,118
Escape from L.A.,1996-08-09,97
The Iron Giant,1999-08-06,86
Free State of Jones,2016-06-24,139
Eastern Promises,2007-09-14,100
Your Highness,2011-04-08,102
Fair Game,2010-05-20,108
Gamer,2009-09-03,95
Zoolander 2,2016-02-06,100
Drive Angry,2011-02-24,105
The Boat That Rocked,2009-04-01,116
Indiana Jones and the Last Crusade,1989-05-24,127
Chappie,2015-03-04,120
K-PAX,2001-10-22,120
3:10 to Yuma,2007-09-06,122
Taken 3,2014-12-16,109
Happily N'Ever After,2006-09-14,75
Star Trek: First Contact,1996-11-21,111
Jonah Hex,2010-06-18,80
The Infiltrator,2016-07-13,127
The Bucket List,2007-12-25,97
Prisoners,2013-09-18,153
The Muppets,2011-11-22,103
Blade,1998-08-21,120
Love Actually,2003-09-07,135
A Bug's Life,1998-11-25,95
Resident Evil: Extinction,2007-09-20,94
Savages,2012-07-06,131
Cellular,2004-09-06,94
The Ant Bully,2006-07-27,88
Across the Universe,2007-09-14,133
Babylon A.D.,2008-08-20,101
Aliens in the Attic,2009-07-31,86
All the Pretty Horses,2000-12-11,117
滿城盡帶黃金甲,2006-12-21,114
Bangkok Dangerous,2008-08-21,99
Love in the Time of Cholera,2007-10-04,139
Johnny English Reborn,2011-09-15,101
Foodfight!,2012-06-15,87
Argo,2012-10-11,120
The Bounty Hunter,2010-03-16,110
Underworld: Evolution,2006-01-12,106
Victor Frankenstein,2015-11-10,109
Unleashed,2005-02-02,103
The Sweetest Thing,2002-04-12,84
The Mechanic,2011-01-13,93
21 Jump Street,2012-03-12,109
Notting Hill,1999-05-13,124
Along Came Polly,2004-01-16,90
Licence to Kill,1989-07-07,133
Red Riding Hood,2011-03-11,100
One for the Money,2012-01-26,91
The Warrior's Way,2010-12-02,100
8 Mile,2002-11-08,110
Pourquoi j'ai pas mangé mon père,2015-04-08,100
Man on a Ledge,2012-01-13,102
American Hustle,2013-12-12,138
The Proposal,2009-06-01,108
Back to the Future Part II,1989-11-20,108
Lucy,2014-07-14,89
Fifty Shades of Grey,2015-02-11,125
Lone Survivor,2013-12-24,121
The Conjuring 2,2016-05-13,134
The Social Network,2010-09-30,120
He's Just Not That Into You,2009-02-06,129
Back to the Future Part III,1990-05-25,118
Julie & Julia,2009-08-06,123
The Talented Mr. Ripley,1999-12-25,139
The Intern,2015-09-24,121
Ride Along 2,2016-01-14,102
Sin City,2005-04-01,124
Vantage Point,2008-02-01,90
"I Love You, Man",2009-03-20,105
17 Again,2009-03-11,102
The Final Destination,2009-08-26,82
Get Him to the Greek,2010-06-04,109
Shall We Dance?,2004-10-15,107
The Lincoln Lawyer,2011-03-17,119
Unknown,2011-02-16,113
The Prestige,2006-10-19,130
Escape from Planet Earth,2013-02-14,89
The Living Daylights,1987-06-29,130
The Lake House,2006-06-16,99
The Odd Life of Timothy Green,2012-08-15,105
Gothika,2003-11-21,98
Aliens vs Predator: Requiem,2007-12-25,94
Paul,2011-02-14,104
Scream 4,2011-04-11,111
Final Destination 5,2011-08-12,92
Drillbit Taylor,2008-03-20,102
Extremely Loud & Incredibly Close,2011-12-24,129
Morning Glory,2010-01-12,102
Rent,2005-11-23,135
The Reaping,2007-04-05,99
Colombiana,2011-07-27,108
Marie Antoinette,2006-05-24,123
Fantastic Mr. Fox,2009-10-23,87
Memoirs of an Invisible Man,1992-02-28,99
Le fabuleux destin d'Amélie Poulain,2001-04-25,122
Big Miracle,2012-02-02,107
Pandorum,2009-09-08,108
A Thousand Words,2012-03-07,91
Disturbia,2007-04-12,105
The Hunting Party,2007-09-03,101
Snowpiercer,2013-08-01,126
Because I Said So,2007-02-02,102
Frankenweenie,2012-10-04,87
Chi bi,2008-07-10,150
The Ugly Truth,2009-07-24,96
Water for Elephants,2011-03-15,120
Enough,2002-05-24,114
Angel Eyes,2001-05-15,102
Precious,2009-11-06,110
The Thing,1982-06-25,109
Riddick,2013-09-02,119
City of Ember,2008-10-07,90
The 5th Wave,2016-01-14,112
Creed,2015-11-25,133
The Town,2010-09-15,125
What to Expect When You're Expecting,2012-05-17,110
Magnolia,1999-12-08,188
Cop Out,2010-02-26,107
How to Be Single,2016-01-21,110
Dolphin Tale,2011-09-23,113
Twilight,2008-11-20,122
We're the Millers,2013-08-07,110
Never Say Never Again,1983-10-07,134
Hot Tub Time Machine,2010-03-26,101
Dolphin Tale 2,2014-09-12,107
A Man Apart,2003-04-04,109
The Rite,2011-01-28,114
Space Chimps,2008-07-17,81
The Hangover,2009-06-05,100
The Blind Side,2009-11-20,129
Horrible Bosses,2011-07-08,98
True Grit,2010-12-22,110
The Devil Wears Prada,2006-06-30,109
Identity Thief,2013-02-07,111
21,2008-03-27,123
Sky High,2005-07-29,100
Secretariat,2010-08-20,123
Friends with Benefits,2011-07-21,109
Neighbors 2: Sorority Rising,2016-05-04,91
This Is 40,2012-12-20,134
Old Dogs,2009-11-24,88
License to Wed,2007-07-04,91
Resident Evil,2002-03-15,100
Max Payne,2008-10-15,100
In Time,2011-10-27,109
The Back-Up Plan,2010-04-23,106
Something Borrowed,2011-05-05,112
The Pianist,2002-09-24,150
J. Edgar,2011-11-09,137
Untraceable,2008-01-22,101
Nanny McPhee and the Big Bang,2010-03-26,109
Ella Enchanted,2004-04-09,96
Concussion,2015-11-12,123
Abduction,2011-09-22,106
Broken City,2013-01-18,109
Premium Rush,2012-08-24,91
Furry Vengeance,2010-04-02,92
Walk Hard: The Dewey Cox Story,2007-12-21,96
The Young Victoria,2009-03-04,105
Whiteout,2009-09-09,101
The Tree of Life,2011-05-18,139
Punisher: War Zone,2008-12-05,102
The Walk,2015-09-30,123
The Maze Runner,2014-09-10,113
The Fountain,2006-09-06,96
Exit Wounds,2001-03-13,101
The House of Magic,2013-12-24,85
The Darkest Hour,2011-12-22,89
The Punisher,2004-04-15,124
Safe,2012-04-16,94
Return of the Jedi,1983-05-23,135
Wanderlust,2012-02-23,98
Nacho Libre,2006-06-16,92
Bridesmaids,2011-04-28,125
This Is the End,2013-06-12,107
Takers,2010-08-26,107
"Big Mommas: Like Father, Like Son",2011-02-16,107
Source Code,2011-03-30,93
The Number 23,2007-02-23,101
Repo Men,2010-03-18,111
The Good German,2006-12-08,108
Apocalypse Now,1979-08-15,153
Going the Distance,2010-09-01,102
Moonraker,1979-06-26,126
Extraordinary Measures,2010-01-21,105
Remember the Titans,2000-09-29,113
The Hunt for Red October,1990-03-02,134
Se7en,1995-09-22,127
District 9,2009-08-05,112
Million Dollar Baby,2004-12-15,132
The Notebook,2004-06-25,123
27 Dresses,2008-01-10,111
Hannah Montana: The Movie,2009-04-10,102
Up in the Air,2009-09-05,109
Looper,2012-09-26,118
Forgetting Sarah Marshall,2008-04-17,111
Four Brothers,2005-08-11,109
Baby Mama,2008-04-23,99
Bride Wars,2009-01-09,89
A View to a Kill,1985-05-24,131
The Curse of the Were-Rabbit,2005-09-04,85
Letters to Juliet,2010-05-14,105
The Three Stooges,2012-04-13,92
Corpse Bride,2005-09-09,77
Drag Me to Hell,2009-03-15,99
The Age of Adaline,2015-04-16,112
Step Up 3D,2010-08-04,107
Stranger Than Fiction,2006-09-09,113
30 Days of Night,2007-10-17,113
The Cabin in the Woods,2012-04-12,95
Meet the Spartans,2008-01-24,84
Hanna,2011-04-07,111
Larry Crowne,2011-06-30,98
Carrie,2013-10-16,100
Side Effects,2013-02-07,106
Winnie the Pooh,2011-04-13,63
Sanctum,2011-02-03,108
The Five-Year Engagement,2012-04-27,124
The Next Three Days,2010-11-18,133
Ultraviolet,2006-03-03,87
Love & Other Drugs,2010-11-22,112
North Country,2005-02-12,126
Splice,2009-10-06,104
Pride and Glory,2008-09-09,130
Alex & Emma,2003-06-16,96
Fright Night,2011-08-18,106
The Last Stand,2013-01-12,107
Hoodwinked Too! Hood VS. Evil,2011-04-29,86
An Unfinished Life,2005-09-09,108
Barney's Version,2010-10-26,134
Runner Runner,2013-09-24,91
Antitrust,2001-01-12,108
Wu Ji,2005-12-15,98
The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,160
辛亥革命,2011-07-03,125
Machine Gun Preacher,2011-09-23,129
Савва. Сердце воина,2015-11-12,85
Sausage Party,2016-07-11,83
The Boss,2016-04-07,91
Aladdin,1992-11-25,90
Straight Outta Compton,2015-08-13,147
Indiana Jones and the Temple of Doom,1984-05-23,118
Florence Foster Jenkins,2016-05-06,110
The Big Short,2015-12-11,130
Taking Woodstock,2009-09-03,120
Dawn of the Dead,2004-03-19,101
For Your Eyes Only,1981-06-23,127
No Reservations,2007-07-25,104
30 Minutes or Less,2011-08-11,83
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-08,81
Pride & Prejudice,2005-09-16,135
Blade Runner,1982-06-25,117
Ghosts of Mars,2001-08-24,98
Our Brand Is Crisis,2015-09-11,108
Pride and Prejudice and Zombies,2016-02-04,108
Octopussy,1983-06-05,131
Knocked Up,2007-06-01,129
My Sister's Keeper,2009-06-26,109
Notes on a Scandal,2006-12-25,92
Rendition,2007-09-07,120
Joyful Noise,2012-01-13,117
About a Boy,2002-04-26,101
Anonymous,2011-10-21,130
The Duchess,2008-09-05,110
Return to Oz,1985-06-21,109
Case 39,2009-08-13,109
Mindhunters,2004-05-07,106
What Just Happened,2008-10-17,104
Paul Blart: Mall Cop,2009-01-15,91
The 40 Year Old Virgin,2005-08-11,116
Pineapple Express,2008-08-06,111
Legion,2010-01-21,100
Pain & Gain,2013-04-18,130
Agent Cody Banks 2: Destination London,2004-12-03,100
Self/less,2015-07-10,116
The Passion of the Christ,2004-02-25,127
Gran Torino,2008-12-09,116
W.,2008-10-17,131
Schindler's List,1993-11-29,195
The Help,2011-08-09,146
Cloverfield,2008-01-15,85
No Strings Attached,2011-01-21,107
Bridge to Terabithia,2007-02-16,96
